Country,household price,business price,average price,Source (2022 data): ,
Afghanistan,0.043,-,0.043,,
Albania,0.115,0.128,0.1215,,
Algeria,0.039,0.034,0.0365,,
Angola,0.017,0.014,0.0155,,
Argentina,0.032,0.028,0.03,,
Armenia,0.104,0.085,0.0945,,
Aruba,0.183,0.339,0.261,,
Australia,0.237,0.332,0.2845,,
Austria,0.496,0.507,0.5015,,
Azerbaijan,0.047,0.065,0.056,,
Bahamas,0.26,0.25,0.255,,
Bahrain,0.048,0.077,0.0625,,
Bangladesh,0.052,0.083,0.0675,,
Barbados,0.272,0.376,0.324,,
Belarus,0.091,0.119,0.105,,
Belgium,0.518,0.248,0.383,,
Belize,0.218,0.174,0.196,,
Bermuda,0.46,0.289,0.3745,,
Bhutan,0.016,0.033,0.0245,,
Bosnia,0.099,0.11,0.1045,,
Botswana,0.095,0.112,0.1035,,
Brazil,0.173,0.15,0.1615,,
Bulgaria,0.138,0.188,0.163,,
Burkina Faso,0.203,0.449,0.326,,
Burma,0.029,0.078,0.0535,,
Cambodia,0.148,-,0.148,,
Cameroon,0.082,0.151,0.1165,,
Canada,0.12,0.098,0.109,,
Cape Verde,0.302,0.193,0.2475,,
Cayman Islands,0.444,0.432,0.438,,
Chile,0.194,0.136,0.165,,
China,0.078,0.089,0.0835,,
Colombia,0.167,0.162,0.1645,,
Costa Rica,0.16,0.213,0.1865,,
Cuba,0.03,-,0.03,,
Cyprus,0.378,0.389,0.3835,,
Czech Republic,0.446,0.45,0.448,,
DMR Congo,0.07,0.082,0.076,,
Denmark,0.572,0.406,0.489,,
Dominican Republic,0.125,0.186,0.1555,,
Ecuador,0.096,0.09,0.093,,
Egypt,0.027,0.037,0.032,,
El Salvador,0.24,0.2,0.22,,
Estonia,0.389,0.227,0.308,,
Ethiopia,0.006,0.022,0.014,,
Finland,0.451,0.194,0.3225,,
France,0.216,0.335,0.2755,,
Gabon,0.202,-,0.202,,
Georgia,0.077,0.115,0.096,,
Germany,0.55,0.766,0.658,,
Ghana,0.033,0.071,0.052,,
Greece,0.27,0.227,0.2485,,
Guatemala,0.281,0.176,0.2285,,
Honduras,0.233,0.235,0.234,,
Hong Kong,0.172,0.167,0.1695,,
Hungary,0.115,0.149,0.132,,
Iceland,0.148,0.068,0.108,,
India,0.074,0.104,0.089,,
Indonesia,0.097,0.075,0.086,,
Iran,0.002,-,0.002,,
Iraq,0.015,0.046,0.0305,,
Ireland,0.421,-,0.421,,
Israel,0.163,0.14,0.1515,,
Italy,0.572,0.55,0.561,,
Ivory Coast,0.119,0.203,0.161,,
Jamaica,0.326,0.285,0.3055,,
Japan,0.249,0.211,0.23,,
Jordan,0.09,0.123,0.1065,,
Kazakhstan,0.045,0.059,0.052,,
Kenya,0.157,0.128,0.1425,,
Kuwait,0.029,0.065,0.047,,
Kyrgyzstan,0.01,0.032,0.021,,
Laos,0.033,-,0.033,,
